dem_req_rate	req_rate_wp_with_naxsi.test.nl	con_rate_wp_with_naxsi.test.nl	min_rep_rate_wp_with_naxsi.test.nl	avg_rep_rate_wp_with_naxsi.test.nl	max_rep_rate_wp_with_naxsi.test.nl	stddev_rep_rate_wp_with_naxsi.test.nl	resp_time_wp_with_naxsi.test.nl	net_io_wp_with_naxsi.test.nl	errors_wp_with_naxsi.test.nl
84	83.9	83.9	83.0	83.9	84.0	0.3	62.9	604.4	0
85	84.9	84.9	84.0	84.9	85.0	0.3	63.8	611.6	0
86	85.9	85.9	85.0	85.9	86.2	0.3	63.8	618.8	0
87	86.9	86.9	86.0	86.9	87.0	0.3	64.0	626.0	0
88	87.9	87.9	86.8	87.9	88.2	0.4	63.9	633.2	0
89	88.9	88.9	87.8	88.9	89.2	0.4	63.8	640.4	0
90	89.9	89.9	89.0	89.9	90.2	0.3	63.6	647.6	0
91	90.9	90.9	90.0	90.9	91.2	0.3	63.6	654.8	0
92	91.9	91.9	91.0	91.9	92.2	0.3	63.4	661.9	0
93	92.9	92.9	92.0	92.9	93.0	0.3	63.1	669.1	0
94	93.9	93.9	93.0	93.9	94.2	0.3	63.1	676.3	0
95	94.9	94.9	94.0	94.9	95.2	0.3	63.3	683.5	0
96	95.9	95.9	94.8	95.9	96.2	0.4	64.4	690.7	0
97	96.4	96.4	94.8	96.4	97.4	0.7	249.2	694.1	0
98	96.4	96.4	95.0	96.4	97.2	0.6	536.4	694.2	0
99	96.8	96.8	95.8	96.8	99.4	1.1	820.1	694.1	0
100	97.8	97.8	95.6	97.8	100.4	2.0	967.2	694.1	0
101	98.8	98.8	95.4	98.8	101.4	2.3	1020.8	696.1	0
102	99.7	99.7	95.6	99.8	102.4	2.8	1080.7	695.0	0
103	100.7	100.7	95.6	100.8	103.8	3.3	1106.5	696.0	0
104	101.7	101.7	96.0	101.8	104.2	3.5	1118.8	696.2	0
105	102.7	102.7	95.8	102.8	105.6	4.0	1128.0	696.5	0
106	103.6	103.6	95.6	103.8	106.6	4.1	1139.0	696.5	0
107	104.6	104.6	96.0	104.8	107.6	4.3	1138.6	697.0	0
