10,10622.952,10321.85,11007.39
20,10827.968,10543.76,11694.99
30,11639.55,10605.83,15566.51
40,10640.022,10615.85,10664.38
50,10511.804,10371.31,10647.64
60,10668.406,10175.52,11262.29
70,11374.812,10294.16,14982.55
80,10838.032,10474.01,11958.86
90,10552.44,10451.76,10604.33
100,10514.95,10292.80,10600.20
110,10866.134,10582.55,11948.22
120,10511.672,10402.00,10576.11
130,10597.92,10189.05,11206.79
140,10581.488,10448.88,10626.30
150,11763.712,10327.67,15490.64
160,10501.492,10203.61,10623.27
170,10527.112,10390.36,10603.21
180,11260.552,10599.30,13395.27
190,10438.218,10163.56,10587.63
200,10557.886,10445.58,10603.01
210,10528.986,10216.09,10635.94
220,10529.322,10419.03,10619.34
230,10885.796,10177.37,12866.30
240,10648.558,9639.95,12014.58
250,11543.716,10178.93,15371.76
260,10407.228,10136.38,10598.17
270,10437.818,9877.95,10598.35
280,10612.478,10349.25,11236.36
290,10797.988,10149.87,12073.66
300,10531.442,10397.57,10602.17
310,10506.528,10217.61,10619.74
320,10454.186,9928.25,10609.38
330,10552.75,10188.47,11134.38
340,10478.3,10103.99,10613.14
350,10450.564,10185.56,10587.92
360,11119.44,10503.13,13271.85
370,11173.3,10187.51,13835.37
380,11820.318,10195.90,15264.49
390,10818.508,10608.33,11604.39
400,10565.226,10470.59,10635.88
410,10482.824,10179.95,10614.46
420,10476.114,10148.06,10624.79
430,10950.752,10546.69,12419.65
440,11525.468,10417.32,15399.10
450,10494.54,10158.42,10587.23
460,10507.988,10143.35,10624.52
470,10456.402,10205.14,10575.01
480,11973.41,10551.56,14348.51
490,10496.736,10347.51,10580.70
500,10494.618,10219.19,10617.21
510,10516.642,10205.41,10607.70
520,11032.848,9904.79,13884.87
530,10289.95,9957.12,10525.47
540,9024.476,8214.89,10273.63
550,8997.298,8210.91,10484.75
560,8627.68,8211.30,10277.61
570,8214.712,8211.10,8217.28
580,9315.406,8211.34,13716.69
590,9030.858,8205.77,12298.72
600,8210.32,8205.34,8212.67
610,8213.552,8207.75,8217.72
620,8209.628,8202.73,8216.27
630,8209.462,8202.07,8214.94
640,8207.826,8200.36,8212.95
650,8210.182,8202.62,8218.37
660,8210.086,8207.19,8212.19
670,8208.692,8203.03,8213.93
680,8207.148,8200.08,8213.21
690,8082.782,7888.81,8210.95
700,7895.434,7894.80,7896.35
710,7895.176,7891.41,7898.75
720,7892.974,7891.15,7895.33
730,7894.25,7891.80,7897.36
740,8493.806,7890.24,10896.82
750,7954.186,7888.05,8203.16
760,8137.204,7877.47,8205.52
770,8196.794,8194.00,8200.21
780,8201.702,8199.80,8203.20
790,8198.998,8196.87,8201.84
800,8196.762,8196.03,8197.64
810,8194.78,8188.62,8197.02
820,8126.066,7875.56,8199.50
830,8733.188,7872.15,11200.49
840,8009.566,7882.40,8201.28
850,7650.48,7302.62,7885.37
860,8483.798,7883.06,10876.35
870,7769.896,7309.96,7886.61
880,9092.92,7885.05,10907.04
890,7642.796,7267.71,7883.65
900,7764.86,7302.83,7882.95
910,7884.276,7881.27,7886.76
920,7648.29,7298.88,7881.74
930,7763.05,7299.86,7881.01
940,8268.7,7299.10,10409.46
950,8187.056,8183.80,8189.25
960,8121.894,7868.53,8189.52
970,8185.008,8180.87,8187.80
980,8181.42,8175.43,8185.95
990,8120.698,7869.88,8187.13
1000,8181.642,8178.38,8185.89
